2026-08-12 05:28:29 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 15:52:38 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 15:52:38 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_155238.db
2026-08-12 15:52:38 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 15:56:27 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 15:56:27 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:56:27 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 15:56:27 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 15:56:27 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 15:56:29 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/ ...
2026-08-12 15:56:33 | INFO     | freeport | ======================================================================
2026-08-12 15:56:33 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://sanyo-river-sympathy-hands.trycloudflare.com
2026-08-12 15:56:33 | INFO     | freeport | ======================================================================
2026-08-12 15:56:33 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 15:56:51 | INFO     | freeport | ======================================================================
2026-08-12 15:56:51 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://sanyo-river-sympathy-hands.trycloudflare.com
2026-08-12 15:56:51 | INFO     | freeport | ======================================================================
2026-08-12 15:57:30 | INFO     | freeport | ======================================================================
2026-08-12 15:57:30 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://sanyo-river-sympathy-hands.trycloudflare.com
2026-08-12 15:57:30 | INFO     | freeport | ======================================================================
2026-08-12 15:57:31 | INFO     | freeport | ======================================================================
2026-08-12 15:57:31 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://sanyo-river-sympathy-hands.trycloudflare.com
2026-08-12 15:57:31 | INFO     | freeport | ======================================================================
2026-08-12 15:58:59 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 15:58:59 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_155859.db
2026-08-12 15:58:59 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:01:27 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:01:27 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:01:27 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:01:27 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:01:27 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:01:29 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/ ...
2026-08-12 16:01:32 | INFO     | freeport | ======================================================================
2026-08-12 16:01:32 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://rebound-vbulletin-guests-technologies.trycloudflare.com
2026-08-12 16:01:32 | INFO     | freeport | ======================================================================
2026-08-12 16:01:36 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:01:36 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_160136.db
2026-08-12 16:01:36 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:04:18 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:04:18 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:04:18 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:04:18 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:04:18 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:04:20 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:04:23 | INFO     | freeport | ======================================================================
2026-08-12 16:04:23 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://relates-comment-insertion-conclusion.trycloudflare.com
2026-08-12 16:04:23 | INFO     | freeport | ======================================================================
2026-08-12 16:04:40 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:04:40 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_160440.db
2026-08-12 16:04:40 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:04:51 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:04:51 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:04:51 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:04:51 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:04:51 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:04:52 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:04:56 | INFO     | freeport | ======================================================================
2026-08-12 16:04:56 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://jeremy-inclusive-enough-explains.trycloudflare.com
2026-08-12 16:04:56 | INFO     | freeport | ======================================================================
2026-08-12 16:04:57 | WARNING  | freeport | Intento de login fallido #1 desde 127.0.0.1
2026-08-12 16:05:01 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:06:24 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:06:24 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_160624.db
2026-08-12 16:06:24 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:08:13 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:08:13 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:08:14 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:08:14 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:08:14 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:08:15 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:08:20 | INFO     | freeport | ======================================================================
2026-08-12 16:08:20 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://life-mortality-drums-gps.trycloudflare.com
2026-08-12 16:08:20 | INFO     | freeport | ======================================================================
2026-08-12 16:09:19 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:09:19 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_160919.db
2026-08-12 16:09:19 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:13:26 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:13:26 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:13:26 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:13:26 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:13:26 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:13:27 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:13:30 | INFO     | freeport | ======================================================================
2026-08-12 16:13:30 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://browser-petite-sense-manner.trycloudflare.com
2026-08-12 16:13:30 | INFO     | freeport | ======================================================================
2026-08-12 16:13:34 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:15:41 | INFO     | freeport | Evento reiniciado: base de datos y archivos fisicos eliminados.
2026-08-12 16:15:53 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:17:27 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:17:27 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_161727.db
2026-08-12 16:17:27 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:25:02 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:25:02 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:25:02 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:25:02 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:25:02 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:25:03 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:25:08 | INFO     | freeport | ======================================================================
2026-08-12 16:25:08 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://predicted-monte-payroll-blvd.trycloudflare.com
2026-08-12 16:25:08 | INFO     | freeport | ======================================================================
2026-08-12 16:27:41 | INFO     | freeport | Evento reiniciado: base de datos y archivos fisicos eliminados.
2026-08-12 16:27:42 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:36:05 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:36:05 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_163605.db
2026-08-12 16:36:05 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:36:24 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:36:25 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:36:25 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:36:25 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:36:25 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:36:26 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:36:29 | INFO     | freeport | ======================================================================
2026-08-12 16:36:29 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://thrown-mouth-refined-couple.trycloudflare.com
2026-08-12 16:36:29 | INFO     | freeport | ======================================================================
2026-08-12 16:36:57 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:36:57 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_163657.db
2026-08-12 16:36:57 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:37:21 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:37:21 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:37:21 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:37:21 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:37:21 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:37:22 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:37:28 | INFO     | freeport | ======================================================================
2026-08-12 16:37:28 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://shed-show-shakira-inn.trycloudflare.com
2026-08-12 16:37:28 | INFO     | freeport | ======================================================================
2026-08-12 16:37:47 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:37:47 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_163747.db
2026-08-12 16:37:47 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:40:43 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:40:43 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:40:43 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:40:43 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:40:43 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:40:44 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:40:49 | INFO     | freeport | ======================================================================
2026-08-12 16:40:49 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://brighton-piano-kissing-cleveland.trycloudflare.com
2026-08-12 16:40:49 | INFO     | freeport | ======================================================================
2026-08-12 16:40:54 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:41:06 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:41:06 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_164106.db
2026-08-12 16:41:06 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:41:51 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:41:51 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:41:51 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:41:51 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:41:51 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:41:52 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:41:55 | INFO     | freeport | ======================================================================
2026-08-12 16:41:55 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://exploring-recommend-original-pieces.trycloudflare.com
2026-08-12 16:41:55 | INFO     | freeport | ======================================================================
2026-08-12 16:41:55 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:42:05 | WARNING  | freeport | Intento de login fallido #1 desde 127.0.0.1
2026-08-12 16:42:07 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:42:17 | INFO     | freeport | Evento reiniciado: base de datos y archivos fisicos eliminados.
2026-08-12 16:42:19 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:42:45 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:42:45 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_164245.db
2026-08-12 16:42:45 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:50:45 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:50:45 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:50:45 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:50:45 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:50:45 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:50:47 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:50:50 | INFO     | freeport | ======================================================================
2026-08-12 16:50:50 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://pairs-labor-read-neither.trycloudflare.com
2026-08-12 16:50:50 | INFO     | freeport | ======================================================================
2026-08-12 16:51:07 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:51:07 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_165107.db
2026-08-12 16:51:07 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:52:40 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:52:40 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:52:40 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:52:40 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:52:40 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 16:52:41 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:52:44 | INFO     | freeport | ======================================================================
2026-08-12 16:52:44 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://bread-shame-colleges-motorcycle.trycloudflare.com
2026-08-12 16:52:44 | INFO     | freeport | ======================================================================
2026-08-12 16:52:50 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:52:56 | INFO     | freeport | Evento reiniciado: base de datos y archivos fisicos eliminados.
2026-08-12 16:52:58 | INFO     | freeport | Login exitoso de administrador desde 127.0.0.1
2026-08-12 16:53:15 | INFO     | freeport | Freeport Moments deteniendose, cancelando tareas de fondo...
2026-08-12 16:53:15 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_165315.db
2026-08-12 16:53:15 | INFO     | freeport | Servidor detenido correctamente. ¡Hasta luego!
2026-08-12 16:56:10 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-12 16:56:10 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:56:10 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
2026-08-12 16:56:10 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-12 16:56:12 | INFO     | freeport | Abriendo el navegador en http://localhost:8000/admin ...
2026-08-12 16:56:14 | INFO     | freeport | ======================================================================
2026-08-12 16:56:39 | INFO     | freeport | LINK PUBLICO PARA COMPARTIR CON LOS INVITADOS: https://unique-arg-classified-measures.trycloudflare.com
2026-08-12 16:56:39 | INFO     | freeport | ======================================================================
2026-08-12 16:56:39 | INFO     | freeport | Freeport Moments iniciando...
2026-08-12 17:26:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_172639.db
2026-08-12 17:56:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_175639.db
2026-08-12 18:26:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_182639.db
2026-08-12 18:56:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_185639.db
2026-08-12 19:26:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_192639.db
2026-08-12 19:56:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_195639.db
2026-08-12 20:26:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_202639.db
2026-08-12 20:56:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_205639.db
2026-08-12 21:26:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_212639.db
2026-08-12 21:56:39 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260812_215639.db
2026-08-13 01:54:24 | INFO     | freeport | Respaldo de base de datos creado: freeport_20260813_015424.db
2026-08-13 01:55:26 | WARNING  | freeport | Estas usando el usuario/contraseña de administrador por defecto. Se recomienda definir ADMIN_USUARIO y ADMIN_PASSWORD en un archivo .env antes del evento.
2026-08-13 01:55:26 | INFO     | freeport | Base de datos inicializada correctamente en C:\Users\Usuario\Desktop\Lucho\AREA_DE_TRABAJO\Python\Freeport_Moments-project\prueba\freeport-moments\data\freeport.db
2026-08-13 01:55:26 | INFO     | freeport | Iniciando tunel de Cloudflare, esto puede tardar unos segundos...
